Membership No  Date Joined  Active  
    94112      2019-1-4     no    
    45126      2020-8-3     yes   
    38026      2015-6-18    yes   
    53275      2018-6-9     no    
    96527      2017-5-2     yes   
    55881      2017-3-21    yes   
    18599      2019-2-8     yes   
    32189      2018-1-8     yes   
    30394      2020-9-14    no    
    93402      2019-8-17    yes   
    51190      2016-4-1     no    
    19219      2016-5-12    no    
    14726      2020-4-1     yes   
    86357      2018-5-10    yes   
    83057      2015-5-16    yes   
    77593      2020-7-21    yes   
    95642      2017-1-5     no    
    82529      2016-11-20   no    
    51953      2017-3-4     yes   
    79351      2018-7-9     yes   
